ID,100_initial_infections_at,Name,Beijing_100_infections_time,distance_from_Beijing,population,Longitude,Latitude
429005,Qianjiangshi_429005,Qianjiang,73,3650335.94985433,839345.0242853165,112.73275471689269,30.323055814738304
429006,Tianmenshi_429006,Tianmen,76,3641088.659221461,1474725.5854244232,113.07994752563336,30.636265393579023
429021,Shennongjialinqu_429021,Shennongjia Forestry District,68,3341601.094373105,70375.50061941147,110.45796664291517,31.58669161496443
430100,Changshashi_430100,Changsha,62,3767258.9506258643,8164556.920244694,113.1128319333481,28.20282872184213
430200,Zhuzhoushi_430200,Zhuzhou,71,3887976.626903856,4299574.207071781,113.49342041181535,27.103764820766436
430300,Xiangtanshi_430300,Xiangtan,71,3797775.670713223,2713949.0035102367,112.5773014702803,27.714316671941383
430400,Hengyangshi_430400,Hengyang,76,3831337.8960210825,7408733.979924679,112.54209093918988,26.79233465341671
430500,Shaoyangshi_430500,Shaoyang,78,3702580.0346443774,7088197.830705166,110.8482207056081,26.913194898840466
430600,Yueyangshi_430600,Yueyang,73,3701556.923024773,6044432.787023782,113.23596190747455,29.03878816474684
430700,Changdeshi_430700,Changde,74,3498505.6913940436,5734456.052826881,111.51584419492382,29.281286103514567
430800,Zhangjiajieshi_430800,Zhangjiajie,69,3456223.5577397076,1423277.5759572983,110.51541216337058,29.383820792182647
430900,Yiyangshi_430900,Yiyang,75,3654286.828966919,4229768.14991951,111.92277001228236,28.556474994858252
431000,Chenzhoushi_431000,Chenzhou,77,3954363.580002335,4927508.37253189,113.11377992440332,25.81467357962271
431100,Yongzhoushi_431100,Yongzhou,78,3818172.2611116357,5007429.018168926,111.70839684879391,25.773847295154592
431200,Huaihuashi_431200,Huaihua,77,3577256.772459902,4794951.7167954445,110.0642577151387,27.54671192181253
431300,Loudishi_431300,Loudi,75,3694601.0674540717,3729401.249190331,111.59188798867461,27.725356322944144
433100,Xiangxitujiazumiaozuzizhizhou_433100,Xiangxi Tujia and Miao Autonomous Prefecture,75,3441312.4048200524,2629783.5558753014,109.71371162903856,28.6898364286505
440100,Guangzhoushi_440100,Guangzhou,66,4227794.688730436,16767793.323467731,113.51377826048369,23.38203631042566
440200,Shaoguanshi_440200,Shaoguan,78,4072788.691938684,2930801.006807804,113.76578993880888,24.817487285321256
440300,Shenzhenshi_440300,Shenzhen,63,4355460.071227506,14637518.81181717,114.12158860694274,22.66377897189972
440400,Zhuhaishi_440400,Zhuhai,63,4334003.1355022825,1400347.269981861,113.32696907905434,22.253199871284224
440500,Shantoushi_440500,Shantou,81,4512005.697711014,5977552.521266938,116.57079623903299,23.346848028093156
440600,Foshanshi_440600,Foshan,72,4216539.294479909,8885413.074063301,112.91191929682003,23.01640463901645
440700,Jiangmenshi_440700,Jiangmen,78,4253073.254892025,4734394.606990814,112.64837907578692,22.311708314548216
440800,Zhanjiangshi_440800,Zhanjiang,79,4132411.438958797,7259407.228891372,110.13993711041411,21.122225534066423
440900,Maomingshi_440900,Maoming,83,4131243.0629334208,6364373.380271912,110.93022737755825,22.024226548283046
441200,Zhaoqingshi_441200,Zhaoqing,80,4078990.3857232756,4389221.17591095,112.18033884867079,23.549820533210237
441300,Huizhoushi_441300,Huizhou,73,4286306.4886356825,6860549.202513218,114.48145594105976,23.24931800976702
441400,Meizhoushi_441400,Meizhou,83,4356618.852677267,4697626.827642918,116.07190154120667,24.208468443794047
441500,Shanweishi_441500,Shanwei,82,4438231.223204935,3296303.6011095047,115.50857255857727,23.025042497041095
441600,Heyuanshi_441600,Heyuan,82,4255643.537597086,3794470.578820228,114.95403547435947,24.040047827401246
441700,Yangjiangshi_441700,Yangjiang,80,4205266.71723448,2593427.45667696,111.76286522480483,22.043921816766098
441800,Qingyuanshi_441800,Qingyuan,78,4027256.635110982,4048630.451989174,112.86675983325087,24.320700700243687
441900,Dongguanshi_441900,Dongguan,71,4309498.709739517,8564106.35985279,113.88337552034024,22.930900419881453
442000,Zhongshanshi_442000,Zhongshan,72,4308099.810376228,3782880.185365677,113.35201356660794,22.542428017716844
445100,Chaozhoushi_445100,Chaozhou,82,4495141.821496096,2787694.303616047,116.75793182509071,23.813247894981863
